Name	ORF
SMP1	YBR182C
KAR4	YCL055W
HCM1	YCR065W
RDS1	YCR106W
UGA3	YDL170W
PHO2	YDL106C
MBP1	YDL056W
RPN4	YDL020C
NRG1	YDR043C
GIS1	YDR096W
INO2	YDR123C
SWI5	YDR146C
UME6	YDR207C
UPC2	YDR213W
ADR1	YDR216W
MET32	YDR253C
SUM1	YDR310C
CAD1	YDR423C
STP1	YDR463W
GCN4	YEL009C
MIG3	YER028C
GLN3	YER040W
ACA1	YER045C
MOT2	YER068W
FLO8	YER109C
SWI4	YER111C
COM2	YER130C
RPH1	YER169W
ZNF1	YFL052W
HAC1	YFL031W
GAT1	YFL021W
PHO4	YFR034C
FZF1	YGL254W
HAP2	YGL237C
MIG2	YGL209W
CUP2	YGL166W
HSF1	YGL073W
AFT1	YGL071W
MIG1	YGL035C
PDR1	YGL013C
RME1	YGR044C
RIM101	YHL027W
YAP3	YHL009C
STP2	YHR006W
STE12	YHR084W
NDT80	YHR124W
STB5	YHR178W
SKN7	YHR206W
FKH1	YIL131C
XBP1	YIL101C
CST6	YIL036W
YAP5	YIR018W
DAL81	YIR023W
GZF3	YJL110C
GSM1	YJL103C
CBF1	YJR060W
IME1	YJR094C
ASH1	YKL185W
ABF1	YKL112W
HAP4	YKL109W
MSN4	YKL062W
RGT1	YKL038W
IXR1	YKL032C
PUT3	YKL015W
DAL80	YKR034W
BAS1	YKR099W
PPR1	YLR014C
CHA4	YLR098C
ACE2	YLR131C
RFX1	YLR176C
ECM22	YLR228C
HAP1	YLR256W
PDR8	YLR266C
LEU3	YLR451W
ARG81	YML099C
TDA9	YML081W
WAR1	YML076C
YAP1	YML007W
STB4	YMR019W
MAC1	YMR021C
MSN2	YMR037C
ARG80	YMR042W
MCM1	YMR043W
MOT3	YMR070W
MSS11	YMR164C
HOT1	YMR172W
CAT8	YMR280C
DAL82	YNL314W
RAP1	YNL216W
SKO1	YNL167C
MET4	YNL103W
FKH2	YNL068C
CRZ1	YNL027W
INO4	YOL108C
RTG1	YOL067C
CIN5	YOR028C
AZF1	YOR113W
SFL1	YOR140W
YRR1	YOR162C
TYE7	YOR344C
HAP5	YOR358W
PIP2	YOR363C
GAL4	YPL248C
USV1	YPL230W
AFT2	YPL202C
RLM1	YPL089C
GCR1	YPL075W
MET31	YPL038W
HAA1	YPR008W
ROX1	YPR065W
ARR1	YPR199C
OAF1	YAL051W
RTG3	YBL103C
HAP3	YBL021C
PDR3	YBL005W
REB1	YBR049C
